pydev debugger: New process is launching (breakpoints won't work in the new process).
pydev debugger: To debug that process please enable 'Attach to subprocess automatically while debugging?' option in the debugger settings.


DevTools listening on ws://127.0.0.1:61586/devtools/browser/2c42396f-c9b6-42af-819e-87e79cf833e9
获取: MakeMaker开源Arduino快速学习,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/272/classroomid/123/ccid/14.html
获取: Arduino机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/110/classroomid/38/ccid/14.html
获取: 人形机器人,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/355/classroomid/159/ccid/14.html
获取: 机器人大赛培训课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/179/classroomid/62/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: 木艺课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/176/classroomid/65/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: 趣味3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/338/classroomid/144/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: 虚拟机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/180/classroomid/61/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: 小机床,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1482/classroomid/65/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取:2018年深圳市信息技术同课同构公开课,level=5,url=https://www.youngmaker.com//home/courses/sort
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:继续学习,level=5,url=https://www.youngmaker.com//home/courses/study.html
获取:Scratch编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人编程培训,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: Scratch编程学习2018,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/292/classroomid/29/ccid/14.html
获取: Scratch竞赛指导视频,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/177/classroomid/162/ccid/14.html
获取: Arduino机器人创客教育课程（I级）,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/602/classroomid/512/ccid/14.html
获取: Arduino竞赛基础指导课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/178/classroomid/63/ccid/14.html
获取: MakeMaker开源Arduino快速学习,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/272/classroomid/123/ccid/14.html
获取: Arduino机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/110/classroomid/38/ccid/14.html
获取: 虚拟机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/180/classroomid/61/ccid/14.html
获取:2018年深圳市信息技术同课同构公开课,level=5,url=https://www.youngmaker.com//home/courses/sort
获取: 陪孩子一起学Arduino,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1506/classroomid/684/ccid/14.html
获取: 陪孩子一起学Python,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1507/classroomid/685/ccid/14.html
获取: 趣味3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/338/classroomid/144/ccid/14.html
获取: 小机床,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1482/classroomid/65/ccid/14.html
获取:2,level=5,url=https://www.youngmaker.com//home/courses/curriculum/p/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: Scratch编程学习2018,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/292/classroomid/29/ccid/14.html
获取: Scratch竞赛指导视频,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/177/classroomid/162/ccid/14.html
获取: Arduino机器人创客教育课程（I级）,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/602/classroomid/512/ccid/14.html
获取: Arduino竞赛基础指导课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/178/classroomid/63/ccid/14.html
获取: MakeMaker开源Arduino快速学习,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/272/classroomid/123/ccid/14.html
获取: Arduino机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/110/classroomid/38/ccid/14.html
获取: 虚拟机器人课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/180/classroomid/61/ccid/14.html
获取:2018年深圳市信息技术同课同构公开课,level=5,url=https://www.youngmaker.com//home/courses/sort
获取: 陪孩子一起学Arduino,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1506/classroomid/684/ccid/14.html
获取: 陪孩子一起学Python,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1507/classroomid/685/ccid/14.html
获取: 趣味3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/338/classroomid/144/ccid/14.html
获取: 小机床,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1482/classroomid/65/ccid/14.html
获取:2,level=5,url=https://www.youngmaker.com//home/courses/curriculum/p/2.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: Scratch编程学习2018,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/292/classroomid/29/ccid/14.html
获取: Scratch竞赛指导视频,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/177/classroomid/162/ccid/14.html
获取: 陪孩子一起学Arduino,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1506/classroomid/684/ccid/14.html
获取: 陪孩子一起学Python,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/1507/classroomid/685/ccid/14.html
获取:课程,level=5,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=5,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=5,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: Arduino机器人创客教育课程（I级）,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/602/classroomid/512/ccid/14.html
获取: Arduino竞赛基础指导课程,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/178/classroomid/63/ccid/14.html
获取: MakeMaker开源Arduino快速学习,level=5,url=https://www.youngmaker.com//home/courses/catalog/id/272/classroomid/123/ccid/14.html
